"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Ryan Dull","Athletics","8.84","1.82","4.87","1.21","25.2 %","5.2 %","20.0 %",".182","0.87",".209","82.7 %","60","86","97","2.42","3.58","-1.16","4.11","3.33","13974"
"David Robertson","White Sox","10.83","4.62","2.34","0.87","28.1 %","12.0 %","16.1 %",".226","1.36",".307","79.9 %","82","82","94","3.47","3.58","-0.11","3.99","3.64","8241"
"Alex Wilson","Tigers","6.04","2.59","2.33","0.62","16.5 %","7.1 %","9.4 %",".247","1.22",".285","77.1 %","70","84","108","2.96","3.60","-0.64","4.58","4.33","9239"
"Brandon Kintzler","Twins","5.80","1.33","4.38","0.83","15.6 %","3.6 %","12.1 %",".276","1.23",".310","75.8 %","73","84","82","3.15","3.61","-0.46","3.48","3.17","9939"
"Sam Dyson","Rangers","7.04","2.94","2.39","0.64","19.3 %","8.1 %","11.2 %",".243","1.22",".291","85.4 %","55","84","81","2.43","3.62","-1.18","3.45","3.25","11710"
"Blake Treinen","Nationals","8.46","4.16","2.03","0.67","24.0 %","11.8 %","12.2 %",".220","1.22",".280","84.0 %","55","89","84","2.28","3.62","-1.34","3.47","3.52","12572"
"Mike Morin","Angels","7.92","2.43","3.27","0.97","21.6 %","6.6 %","15.0 %",".246","1.20",".295","62.1 %","109","88","98","4.37","3.65","0.72","4.16","3.74","13442"
"Michael Lorenzen","Reds","8.64","2.34","3.69","0.90","23.8 %","6.4 %","17.3 %",".224","1.08",".277","83.0 %","68","86","75","2.88","3.67","-0.79","3.10","2.75","14843"
"Nick Wittgren","Marlins","7.32","1.74","4.20","1.05","19.7 %","4.7 %","15.0 %",".248","1.16",".286","81.8 %","76","92","101","3.14","3.67","-0.53","4.16","3.75","15594"
"Zach McAllister","Indians","9.30","3.65","2.55","0.91","23.3 %","9.1 %","14.2 %",".258","1.44",".324","83.1 %","73","86","103","3.10","3.67","-0.57","4.38","3.86","2895"
"Jhan Marinez","- - -","7.22","3.03","2.38","0.58","18.6 %","7.8 %","10.8 %",".256","1.33",".309","76.7 %","74","86","100","3.18","3.68","-0.50","4.15","3.92","5830"
"Matt Barnes","Red Sox","9.59","4.19","2.29","0.81","24.7 %","10.8 %","13.9 %",".245","1.40",".318","73.1 %","92","88","95","4.05","3.72","0.33","4.05","3.80","12863"
"Ryan Pressly","Twins","8.00","2.75","2.91","0.96","20.4 %","7.0 %","13.4 %",".261","1.35",".311","75.4 %","86","87","99","3.70","3.74","-0.04","4.22","3.89","7005"
"Carlos Torres","Brewers","8.53","3.28","2.60","0.87","23.0 %","8.9 %","14.2 %",".213","1.15",".260","83.1 %","64","87","98","2.73","3.75","-1.02","4.05","3.76","7624"
"Deolis Guerra","Angels","6.08","1.18","5.14","1.01","16.4 %","3.2 %","13.2 %",".246","1.11",".272","72.2 %","80","91","95","3.21","3.77","-0.56","4.02","3.87","8410"
"George Kontos","Giants","5.91","3.38","1.75","0.51","16.2 %","9.3 %","6.9 %",".216","1.16",".250","75.3 %","64","97","113","2.53","3.80","-1.27","4.66","4.58","9486"
"Fernando Rodney","- - -","10.19","5.10","2.00","0.69","26.2 %","13.1 %","13.1 %",".224","1.39",".302","77.5 %","84","95","91","3.44","3.80","-0.36","3.75","3.78","494"
"Brian Flynn","Royals","7.30","3.74","1.95","0.68","20.6 %","10.5 %","10.1 %",".183","1.06",".216","79.8 %","51","91","94","2.21","3.81","-1.60","3.99","4.01","12027"
"Pedro Baez","Dodgers","10.09","2.68","3.77","1.34","28.1 %","7.5 %","20.7 %",".192","1.00",".232","80.9 %","77","94","83","3.04","3.81","-0.77","3.43","3.07","5420"
"Daniel Hudson","Diamondbacks","8.65","3.28","2.64","0.90","21.6 %","8.2 %","13.4 %",".269","1.44",".331","61.7 %","119","92","100","5.22","3.81","1.41","4.12","3.84","7146"
"Francisco Rodriguez","Tigers","8.02","3.24","2.48","0.93","22.1 %","8.9 %","13.2 %",".211","1.13",".252","73.4 %","76","89","90","3.24","3.83","-0.59","3.84","3.66","1642"
"Heath Hembree","Red Sox","8.29","3.00","2.76","1.06","21.1 %","7.6 %","13.5 %",".248","1.33",".294","75.5 %","60","91","103","2.65","3.83","-1.19","4.36","3.93","11632"
"Santiago Casilla","Giants","10.09","2.95","3.42","1.24","27.0 %","7.9 %","19.1 %",".230","1.19",".292","81.2 %","90","101","89","3.57","3.94","-0.37","3.67","3.20","2873"
"Bryan Shaw","Indians","9.32","3.78","2.46","1.08","25.1 %","10.2 %","14.9 %",".228","1.26",".284","80.0 %","76","92","84","3.24","3.94","-0.70","3.58","3.52","8110"
"Scott Feldman","- - -","7.05","1.38","5.13","1.20","18.4 %","3.6 %","14.8 %",".274","1.26",".311","72.6 %","98","93","86","4.13","3.95","0.18","3.64","3.37","6283"
